customer_id,first_name,last_name,email,phone,address,city,state,zip,latitude,longitude,birth_date,gender,loyalty_tier,signup_date,marketing_opt_in,home_store_id
C000001,Logan,Patel,logan.patel1@example.com,(448) 218-1355,755 Bergen Street,Brooklyn,NY,11238,40.678414,-73.96337,1981-08-29,,None,2024-07-09,True,S0001
C000002,Rowan,Kim,rowan.kim2@example.com,(839) 816-4180,65 Central Park W,New York,NY,10023,40.772731,-73.978515,1950-06-19,,None,2024-06-15,False,S0001
C000003,Alex,Kim,alex.kim3@example.com,(324) 227-2273,601 West 51 Street,New York,NY,10019,40.766639,-73.994477,2001-10-30,,Gold,2024-05-30,False,S0001
C000004,Sam,Lopez,sam.lopez4@example.com,(708) 443-1181,1712 Stillwell Avenue,Brooklyn,NY,11223,40.604705,-73.986783,1960-09-11,,None,2023-12-30,False,S0001
C000005,Riley,Garcia,riley.garcia5@example.com,(578) 394-6750,1815 Nostrand Avenue,Brooklyn,NY,11226,40.641692,-73.948581,1997-04-02,,None,2023-10-12,False,S0001
C000006,Morgan,Perez,morgan.perez6@example.com,(603) 432-5770,900 Magenta Street,Bronx,NY,10469,40.87445,-73.860954,1991-05-23,,None,2024-04-02,False,S0001
C000007,Parker,Khan,parker.khan7@example.com,(775) 543-8496,181 Clarkson Ave,Brooklyn,NY,11226,40.655193,-73.954023,2007-04-02,,None,2024-01-27,True,S0001
C000008,Quinn,Patel,quinn.patel8@example.com,(664) 655-2725,"528 W. 111Th St., Suite 54",New York,NY,10025,40.804349,-73.965103,1953-07-16,,None,2023-10-27,False,S0001
C000009,Riley,Rodriguez,riley.rodriguez9@example.com,(484) 961-9123,580 5Th Avenue,New York,NY,10036,40.756959,-73.979025,1998-12-14,,None,2023-10-21,False,S0001
C000010,Parker,Lee,parker.lee10@example.com,(484) 904-9081,312 Linden Street,Brooklyn,NY,11237,40.698527,-73.914352,1954-09-26,,None,2024-01-30,False,S0001
C000011,Drew,Khan,drew.khan11@example.com,(392) 909-3264,72 Hamilton Terrace,New York,NY,10031,40.823248,-73.946186,1995-04-11,,None,2023-11-06,True,S0001
C000012,Harper,Rodriguez,harper.rodriguez12@example.com,(679) 343-1400,2675 Grand Concourse 5G,Bronx,NY,10468,40.866679,-73.893925,1995-02-02,,Silver,2024-08-13,False,S0001
C000013,Avery,Kim,avery.kim13@example.com,(261) 713-2506,442 Clermont Ave.,Brooklyn,NY,11238,40.684663,-73.969172,2002-07-27,,None,2023-12-01,True,S0001
C000014,Skyler,Patel,skyler.patel14@example.com,(732) 419-6686,9 East 40Th Street,Brooklyn,NY,11203,40.655692,-73.94049,1966-07-19,,None,2023-09-07,False,S0001
C000015,Taylor,Zhang,taylor.zhang15@example.com,(915) 977-2376,34-20 57Th Street,Woodside,NY,11377,40.751926,-73.904557,1988-04-17,,Silver,2023-10-23,False,S0001
C000016,Elliot,Rodriguez,elliot.rodriguez16@example.com,(755) 974-9894,70-19 Austin Street Floor 2,Forest Hills,NY,11375,40.720743,-73.846353,1980-08-03,,Gold,2024-08-23,False,S0001
